manufacturer,model,max_thrust_N,thrust_rating_condition,engine_mass_kg,mass_includes,diameter_mm,length_mm,max_rpm,idle_rpm,pressure_ratio,mass_flow_kgps,EGT_max_C,fuel_consumption_at_max,fuel_type,compressor_type,turbine_type,source_url,notes
AMT Netherlands,Titan,392,"at S.T.P. at max rpm (15 C, 1013 mbar), +/-2%",3.645,"engine only (system airborne weight 5211 g incl. ECU, pump, battery, thermosensor, valves, straps)",147,385,96000,,3.8,0.66,850,1020 g/min,kerosene (direct kerosene start),radial (single stage),axial (single stage),https://amtjets.com/pdf/Titan_specifications.pdf,Spec sheet dated June 2013. EGT is 'max continuous'. Idle thrust 13 N. SFC 43.3 g/(kN*s). Max operating altitude 8000 m; max operating speed 1000 km/h.
AMT Netherlands,Nike (EPV layout),784,"at max rpm at S.T.P. (15 C, 1013 mbar), +/-2%",9.15,"engine only (system airborne weight 11300 g incl. ECU, pump, LiPo, thermosensor, valves, straps)",201,524,61500,,4.0,1.25,875,1900 g/min,kerosene (direct kerosene start),radial (single stage),axial (single stage),https://www.amtjets.com/pdf/Nike_specification.pdf,"Spec sheet dated October 2014. Normal EGT 800 C, max EGT 875 C. Idle thrust 40 N. SFC 40.36 g/(kN*s). Max operating altitude 8000 m; max operating speed 1000 km/h."
Xicoy,X240,240,max thrust adjustable 120-240 N,1.817,engine alone (2075 g total installed weight except battery),118,270,113000,28000,,,,600 g/min at 240 N (750 ml/min),Kerosene + 4% oil,,,https://www.xicoyturbines.com/X240.html,Idle thrust 7 N. idle_rpm = lower end of '28.000 ... 113.000'. 25 h service interval.
Xicoy,X380,380,max thrust adjustable 190-380 N,3.133,engine incl. mounting strap (3350 g total installed except battery),140,317,96000,22000,,,,985 g/min (1250 ml/min) at full power,Kerosene + 4% oil,,,https://www.xicoyturbines.com/X380.html,"Published '86 Lbf, 38,5Kg' alongside 380 N. Idle thrust 10 N. SFC 0.154 (unit not printed; presumably kg/Nh). idle_rpm = lower end of '22.000 ... 96.000'."
Swiwin,SW300Pro,294.2,'Thrust:30kg' (condition not stated),2.56,not stated,132,331.4,98000,38000,,,750,<=820 g/min,Aviation kerosene,,,https://www.swiwin.com/en/product/list_43.html,Thrust published as '30kg'; converted 30 kgf x 9.80665 = 294.2 N. Rated max exhaust temp 750 C. Lubricating oil 3-5%. 25 h maintenance cycle. Idle rpm published explicitly.
Swiwin,SW400Pro,392.3,'Thrust:40kg' (condition not stated),3.24,not stated,148,341.1,97000,35000,,,750,<=1000 g/min,Aviation kerosene,,,https://www.swiwin.com/en/product/list_44.html,"Thrust published as '40kg'; converted 40 kgf x 9.80665 = 392.3 N. Rated max exhaust temp 750 C. Lubricating oil 3-5%. 25 h maintenance cycle. Idle rpm published explicitly. Retailers (e.g. swiwinusa.com via search) list 3000 g, 146 mm, 335 mm, 33,000-95,000 rpm (manufacturer values kept)."
Swiwin,SW600Pro,588.4,'Thrust:60kg' (condition not stated),6.6,not stated,177,449.4,72000,25000,,,750,<=1735 g/min,Aviation kerosene,,,https://www.swiwin.com/en/product/list_45.html,Thrust published as '60kg'; converted 60 kgf x 9.80665 = 588.4 N. Rated max exhaust temp 750 C. Lubricating oil 3-5%. 25 h maintenance cycle. Idle rpm published explicitly.
Swiwin,SW800Pro,784.5,'Thrust:80kg' (condition not stated),8.4,not stated,207.2,454.7,65000,25000,,,750,<=1850 g/min,Aviation kerosene,,,https://www.swiwin.com/en/product/list_46.html,Thrust published as '80kg'; converted 80 kgf x 9.80665 = 784.5 N. Rated max exhaust temp 750 C. Lubricating oil 3-5%. 25 h maintenance cycle. Idle rpm published explicitly.
Jet Central,Rhino 200 SE,200,"200 N (45 lbs) @ 121,000 rpm",1.78,not stated,111.0,302,121000,32000,,,700,0.55 Lt/min (19.5 oz/min) @121k,,,,https://jetcentral.com.mx/rhino/,"Idle thrust 6 N @ 32,000 rpm. EGT range 500-700 C."
Jet Central,Mammoth 250 SE,250,"250 N (56.20 lbs) @ 108,000 rpm",2.28,not stated,124.1,325.4,108000,28000,,,700,0.81 Lt/min (28.51 oz/min) @108k,,,,https://jetcentral.com.mx/mammoth/,"Idle thrust 8 N @ 28,000 rpm. EGT range 500-700 C."
Jet Central,Dragon 300 SE,300,"300 N (67 lbs) @ 100,000 rpm",2.92,not stated,133,345,100000,26000,,,700,1 Lt/min (33.81 oz/min) @100k,,,,https://jetcentral.com.mx/dragon/,"Idle thrust 7.6 N @ 26,000 rpm. EGT range 500-700 C."
PBS Aerospace,TJ40-G1,425,published thrust range 395-425 N,3.4,not stated,147,304,98000,,3.8,0.8,780,,,radial (1-stage centrifugal),axial (1-stage),https://www.pbsaerospace.com/aerospace/aircraft-engines/pbs-tj40-g1,"UAV/target-drone engine. Manufacturer page gives only thrust 395-425 N, 3.40 kg, 147 mm, 304 mm, TBO up to 50 h, max altitude 9000 m. max_rpm, pressure ratio, mass flow, EGT and compressor/turbine type from SECONDARY source minijets.org (https://minijets.org/en/0-100/pbs-tj-40/), which also gives max thrust 40.3 kgp (395 N), dry 3.3 kg / equipped 3.5 kg, SFC 1.5 kg/kgp-h, 200 W generator. A search snippet also cites 'max take-off thrust 395 N for up to 5 minutes'."
PBS Aerospace,TJ100,1250,"published thrust range 1,100-1,250 N",17.6,not stated,272,636,,,,,,,,radial (1-stage),axial (1-stage),https://www.pbsaerospace.com/aerospace/aircraft-engines/pbs-tj100,"UAV/light-aircraft engine; TBO up to 300 h; operating altitude 10,000 m. Compressor/turbine type from SECONDARY minijets.org (https://minijets.org/en/100-150/pbs-tj100/), which lists older versions at 100-110 daN, dry 16.0 kg / equipped 19.0 kg, length 485 mm, SFC 1.1 kg/kgp-h. A search snippet of an older PBS PDF gave 1300 N, 19.5 kg, 625 mm, 60,600 rpm, 3120 ml/min at max (PDF not fetchable; not used in cells)."
evoJet,B220ex,227.5,"'B220: bis 23,2 kg' (up to; electronically adjustable thrust class)",1.7,incl. mount,,,123000,30000,,,,max. 650 g/min (B220-220N setting),Jet A1 / kerosene + 5% Aeroshell 500 oil,mixed-flow (manual: 'mixed-airflow compressor'),,http://bvmjets.com/images/evoJet/evoJet-ex-4.5EN.pdf,"evoJet manual v4.5, status January 2014 (hosted by distributor BVM). Converted 23.2 kgf x 9.80665 = 227.5 N. Fuel 535 g/min at 180 N and 595 g/min at 200 N settings. idle_rpm = lower end of rotor speed range 30,000-123,000."
BF-Turbines / AeroDesignWorks,B300F,300,"@105,000 rpm",2.65,engine (periphery +460 g listed separately),133.0,390.0,105000,35000,,,760,980 ml/min @ 300 N,"kerosene, petroleum or premium diesel + 5% synthetic 2-stroke oil",,,https://www.skytoysrc.com/shop/b300f,"RETAILER fallback (aerodesignworks.com page has no spec table). Min thrust 15 N @ 35,000 rpm. EGT range 680-760 C. Accel 39k-105k rpm in 4.6 s. A search snippet of another listing gave 300 N @ 104,000 rpm."
Behotec,JB220,220,"220 N @ 123,000 rpm (nominal)",1.64,not stated,113,313,123000,35000,,,750,720 ml/min at max rpm,Jet-A1 or kerosene + 5% turbine oil,,,https://www.modellflynytt.no/forum/kj%C3%B8p-og-salg/www-modellsalg-no/38422-jb-220-turbin,WEAK SOURCE: reseller forum post (manufacturer spec page not found; eztoys.com retailer page returned 403). Idle thrust 8 N; EGT range 650-750 C. Search snippet of the eztoys listing gives min thrust 8.05 N with the same 1640 g / 113 mm / 313 mm / 720 ml/min.
